Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum_Normalize_Fourier,40,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,41,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier,42,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,43,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,44,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,45,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier,46,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier,47,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,48,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,49,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,50,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,51,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier,52,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,53,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,54,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,55,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,56,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,57,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier,58,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier,59,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,60,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,61,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,62,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,63,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,64,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,65,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,66,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier,67,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,68,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,69,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,70,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,71,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,72,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,73,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,74,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,75,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier,76,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,77,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,78,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,79,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,80,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,81,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,82,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,83,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,84,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,85,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,86,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,87,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,88,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,89,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,90,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,91,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,92,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,93,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,94,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,95,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier,96,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,97,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,98,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,99,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,100,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,101,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,102,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,103,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,104,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,105,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,106,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,107,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,108,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,109,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,110,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,111,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier,112,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,113,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,114,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,115,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,116,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,117,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,118,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,119,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,120,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier_Terrain,1,0.8954372623574145
1990_1992,Spectrum_Normalize_Fourier_Terrain,2,0.8973384030418251
1990_1992,Spectrum_Normalize_Fourier_Terrain,3,0.9296577946768061
1990_1992,Spectrum_Normalize_Fourier_Terrain,4,0.8973384030418251
1990_1992,Spectrum_Normalize_Fourier_Terrain,5,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,6,0.9277566539923955
1990_1992,Spectrum_Normalize_Fourier_Terrain,7,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,8,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier_Terrain,9,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier_Terrain,10,0.9296577946768061
1990_1992,Spectrum_Normalize_Fourier_Terrain,11,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier_Terrain,12,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier_Terrain,13,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,14,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,15,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,16,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,17,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,18,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,19,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,20,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,21,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier_Terrain,22,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,23,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,24,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,25,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,26,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,27,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,28,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,29,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,30,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,31,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,32,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,33,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,34,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,35,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,36,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier_Terrain,37,0.9600760456273765
1990_1992,Spectrum_Normalize_Fourier_Terrain,38,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,39,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,40,0.9581749049429658
1990_1992,Spectrum_Normalize_Fourier_Terrain,41,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,42,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,43,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,44,0.9581749049429658
1990_1992,Spectrum_Normalize_Fourier_Terrain,45,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,46,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,47,0.9581749049429658
1990_1992,Spectrum_Normalize_Fourier_Terrain,48,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier_Terrain,49,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,50,0.9581749049429658
1990_1992,Spectrum_Normalize_Fourier_Terrain,51,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,52,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,53,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,54,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,55,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,56,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,57,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,58,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,59,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,60,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,61,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,62,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,63,0.9619771863117871
1990_1992,Spectrum_Normalize_Fourier_Terrain,64,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,65,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,66,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,67,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,68,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,69,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,70,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,71,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,72,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,73,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,74,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,75,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,76,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,77,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,78,0.9581749049429658
1990_1992,Spectrum_Normalize_Fourier_Terrain,79,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,80,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,81,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,82,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,83,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,84,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier_Terrain,85,0.9619771863117871
1990_1992,Spectrum_Normalize_Fourier_Terrain,86,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,87,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,88,0.9600760456273765
1990_1992,Spectrum_Normalize_Fourier_Terrain,89,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,90,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,91,0.9524714828897338
1990_1992,Spectrum_Normalize_Fourier_Terrain,92,0.9562737642585551
1990_1992,Spectrum_Normalize_Fourier_Terrain,93,0.9581749049429658
1990_1992,Spectrum_Normalize_Fourier_Terrain,94,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,95,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,96,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,97,0.9505703422053232
1990_1992,Spectrum_Normalize_Fourier_Terrain,98,0.9600760456273765
1990_1992,Spectrum_Normalize_Fourier_Terrain,99,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier_Terrain,100,0.9543726235741445
1990_1992,Spectrum_Normalize_Fourier_Terrain,101,0.9562737642585551
