Year,Size,Acc_type,Acc_value
Training_sample_huadong_2002_2004,45.00,acc_RF,0.9503346248679112
Training_sample_huadong_2002_2004,5.00,acc_test,0.8962264150943396
Training_sample_huadong_2002_2004,5.00,acc_RF,0.9428571428571428
Training_sample_huadong_2002_2004,50.00,acc_test,0.9296081277213353
Training_sample_huadong_2002_2004,50.00,acc_RF,0.9521394611727417
Training_sample_huadong_2002_2004,55.00,acc_test,0.9310595065312046
Training_sample_huadong_2002_2004,55.00,acc_RF,0.9501440922190202
Training_sample_huadong_2002_2004,60.00,acc_test,0.9332365747460087
Training_sample_huadong_2002_2004,60.00,acc_RF,0.9490227152667723
Training_sample_huadong_2002_2004,65.00,acc_test,0.9339622641509434
Training_sample_huadong_2002_2004,65.00,acc_RF,0.9517190929041697
Training_sample_huadong_2002_2004,70.00,acc_test,0.9325108853410741
Training_sample_huadong_2002_2004,70.00,acc_RF,0.9524564183835182
Training_sample_huadong_2002_2004,75.00,acc_test,0.9346879535558781
Training_sample_huadong_2002_2004,75.00,acc_RF,0.9511834319526628
Training_sample_huadong_2002_2004,80.00,acc_test,0.9332365747460087
Training_sample_huadong_2002_2004,80.00,acc_RF,0.9506735340729001
Training_sample_huadong_2002_2004,85.00,acc_test,0.93033381712627
Training_sample_huadong_2002_2004,85.00,acc_RF,0.9533842998321834
Training_sample_huadong_2002_2004,90.00,acc_test,0.9339622641509434
Training_sample_huadong_2002_2004,90.00,acc_RF,0.951752069026237
Training_sample_huadong_2002_2004,95.00,acc_test,0.9361393323657474
Training_sample_huadong_2002_2004,95.00,acc_RF,0.9547881214547881
Training_sample_huadong_2005_2007,0.10,acc_test,0.7435714285714285
Training_sample_huadong_2005_2007,0.10,acc_RF,0.8333333333333334
Training_sample_huadong_2005_2007,0.40,acc_test,0.8414285714285714
Training_sample_huadong_2005_2007,0.40,acc_RF,0.88
Training_sample_huadong_2005_2007,0.70,acc_test,0.855
Training_sample_huadong_2005_2007,0.70,acc_RF,0.9318181818181818
Training_sample_huadong_2005_2007,1.00,acc_test,0.8271428571428572
Training_sample_huadong_2005_2007,1.00,acc_RF,0.967741935483871
Training_sample_huadong_2005_2007,1.50,acc_test,0.8464285714285714
Training_sample_huadong_2005_2007,1.50,acc_RF,0.9361702127659575
Training_sample_huadong_2005_2007,10.00,acc_test,0.9035714285714286
Training_sample_huadong_2005_2007,10.00,acc_RF,0.947452229299363
Training_sample_huadong_2005_2007,15.00,acc_test,0.9092857142857143
Training_sample_huadong_2005_2007,15.00,acc_RF,0.953340402969247
Training_sample_huadong_2005_2007,2.00,acc_test,0.8678571428571429
Training_sample_huadong_2005_2007,2.00,acc_RF,0.936
Training_sample_huadong_2005_2007,20.00,acc_test,0.915
Training_sample_huadong_2005_2007,20.00,acc_RF,0.9610182975338106
Training_sample_huadong_2005_2007,25.00,acc_test,0.9107142857142857
