system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000047,35,28,27,53,40,198,26,1,32,518,-134,-31,42,-46,21,-21,-2,18,11,8,-1728,28,20,-18,43,-28,22,10,305,-122,-38,39,-34,5,13,0,1.4498595,338.83334,0.07500111,101003.336,0.008866667,168.0,288.39334,2.6673305,"{""type"":""Point"",""coordinates"":[116.30510520514433,33.696392149446105]}"
1_00000000000000000048,33,34,35,61,51,200,38,1,30,185,-113,-65,79,-80,88,-69,0,18,10,8,-2122,23,11,-20,95,-31,38,13,277,-104,-62,72,-73,72,-36,0,1.4501394,338.5,0.07416778,101003.336,0.008811001,168.16667,288.37,2.664664,"{""type"":""Point"",""coordinates"":[116.3996961157911,33.72441759956701]}"
1_0000000000000000004a,32,31,31,54,51,200,38,1,30,-151,-63,-41,44,-10,26,-39,1,14,15,5,-1818,17,-23,0,32,8,3,11,-32,-62,-49,47,-9,25,-30,1,0.92740995,338.25,0.076667786,101018.0,0.008855,169.41667,288.37665,2.5513306,"{""type"":""Point"",""coordinates"":[116.56031739483724,33.672946196107084]}"
1_0000000000000000004b,35,35,36,57,51,199,34,1,33,-372,-95,-42,30,6,43,-36,3,15,12,4,-597,36,-3,8,29,-45,33,3,52,-82,-35,37,-1,26,-8,0,0.92740995,337.16666,0.07833445,101009.336,0.008760334,171.0,288.31,2.372664,"{""type"":""Point"",""coordinates"":[116.70395841707193,33.764304258490085]}"
1_0000000000000000004c,37,37,40,62,61,201,46,1,31,-451,-109,-50,36,-33,68,-31,4,18,10,7,-99,42,6,-36,40,-38,10,0,-67,-86,-53,37,-34,46,-10,1,1.1153718,337.16666,0.07833445,101009.336,0.008760334,171.0,288.31,2.372664,"{""type"":""Point"",""coordinates"":[116.79962843017357,33.75217550362471]}"
1_0000000000000000004d,40,41,44,64,61,200,47,1,33,-79,-94,-34,19,-36,57,-22,1,16,10,5,-536,42,-26,-28,24,-28,27,2,-9,-74,-42,24,-24,39,-9,1,2.163178,337.16666,0.083334446,101062.0,0.008736334,172.0,288.35333,2.2786639,"{""type"":""Point"",""coordinates"":[117.01684016068907,33.699085446482385]}"
1_0000000000000000004f,30,27,25,59,44,198,29,1,30,-43,-133,-15,19,-35,40,-14,1,18,7,7,-861,66,-16,-20,23,-21,3,4,169,-116,-26,27,-27,20,-7,0,3.4678202,337.25,0.08916778,101051.336,0.008701667,171.5,288.36,2.2326639,"{""type"":""Point"",""coordinates"":[117.2483343918787,33.73546725197745]}"
1_00000000000000000050,29,25,22,57,38,196,20,1,26,-44,-149,-30,33,-52,87,-45,1,20,5,9,-598,69,-6,-75,36,-14,-3,3,-509,-94,-73,35,-41,69,-26,4,1.4498651,337.91666,0.090834446,101088.664,0.008721334,170.83333,288.4533,2.3193307,"{""type"":""Point"",""coordinates"":[117.31948380828749,33.69692724157252]}"
1_00000000000000000052,41,35,33,46,35,193,26,1,22,56,-112,-9,29,-10,32,-33,0,14,7,3,-1066,28,-15,-57,7,0,-28,6,97,-79,-21,14,-9,23,-24,0,1.4504641,337.83334,0.09583445,101114.664,0.008704334,170.16667,288.43665,2.2919972,"{""type"":""Point"",""coordinates"":[117.55582954142326,33.75702700557087]}"
1_00000000000000000054,37,31,27,55,46,196,33,1,24,171,-111,-39,35,-25,13,-34,0,20,8,7,-1159,48,12,-85,18,-7,-16,6,325,-73,-36,10,-41,22,-22,0,2.229084,338.33334,0.10083445,101116.0,0.008757333,169.0,288.42667,2.374664,"{""type"":""Point"",""coordinates"":[117.8048435806519,33.720912746139]}"
